Ax_last,Ay_last,Az_last,Gx_last,Gy_last,Gz_last,Ax_mean,Ax_min,Ax_max,Ax_std,Ax_var,Ax_rms,Ax_ptp,Ax_median,Ax_mad,Ax_energy,Ay_mean,Ay_min,Ay_max,Ay_std,Ay_var,Ay_rms,Ay_ptp,Ay_median,Ay_mad,Ay_energy,Az_mean,Az_min,Az_max,Az_std,Az_var,Az_rms,Az_ptp,Az_median,Az_mad,Az_energy,Gx_mean,Gx_min,Gx_max,Gx_std,Gx_var,Gx_rms,Gx_ptp,Gx_median,Gx_mad,Gx_energy,Gy_mean,Gy_min,Gy_max,Gy_std,Gy_var,Gy_rms,Gy_ptp,Gy_median,Gy_mad,Gy_energy,Gz_mean,Gz_min,Gz_max,Gz_std,Gz_var,Gz_rms,Gz_ptp,Gz_median,Gz_mad,Gz_energy
-0.865967,-0.08606,0.452026,-18.127448,-19.65332,-2.868652,-0.7797242999999999,-0.989624,-0.472412,0.12505580785397374,0.01563895507801,0.789689140794338,0.517212,-0.7933965000000001,0.09935917000000002,12.472178781769998,-0.1172547,-0.327881,0.006226,0.07138523552745343,0.00509585185131,0.1372753310810067,0.334107,-0.1116945,0.0507874,0.376890330468,0.5138855500000001,0.272461,0.6698,0.08802394627399693,0.007748215117647499,0.5213699009498438,0.39733899999999994,0.525879,0.06883239499999996,5.436531472328999,8.767699149999999,-18.127448,43.57909,12.744035597158215,162.41044330163572,15.46877473126254,61.706538,8.117676,9.095153565,4785.65983373093,-4.608156249999999,-40.22216,96.5576,29.70521569943318,882.3998397498515,30.060521349009665,136.77976,-9.124758,20.568846100000002,18072.698875485316,5.825804850000002,-31.31103,161.62108,40.33912095531747,1627.244679447733,40.75763341507964,192.93211,-2.2583005,25.164487035,33223.69363196033
-0.817749,-0.00354,0.618652,-21.24023,27.709956,19.10401,-0.8120974000000001,-0.947998,-0.579224,0.08642080030374633,0.0074685547251400015,0.8166827669370158,0.36877400000000005,-0.8233645,0.06353271999999999,13.339414836238001,-0.0624145,-0.327881,0.101563,0.09638342595773403,0.009289764799349998,0.11482741227424748,0.429444,-0.0355225,0.07495015000000001,0.263706692192,0.5606934499999999,0.41394,0.677002,0.0786215966102667,0.0061813554535475,0.5661788589539969,0.263062,0.567017,0.06751715,6.411170006528999,-9.41467355,-22.64404,13.366696,12.438148339282929,154.7075341100067,15.599474739973658,36.010736,-17.486578,11.231995095,4866.872243261525,-10.1837165,-40.22216,27.709956,17.71226505045511,313.72433321757353,20.43116283939673,67.93211600000001,-10.223388,13.8275147,8348.648299398918,-0.9155253499999999,-31.31103,19.10401,17.7937007472783,316.6157862836924,17.817238084231377,50.41504,1.5869145,15.686035549999996,6349.0794590037
-0.739014,-0.190064,0.542358,-15.136716,4.028321,11.657712,-0.8198732,-0.967529,-0.66919,0.06067269926548514,0.003681176436160001,0.822115101743302,0.298339,-0.8182375,0.043742720000000006,13.517464810287999,-0.081311,-0.209717,0.101563,0.09359937836064938,0.0087608436295,0.1239851698813209,0.31128,-0.048462,0.08360730000000001,0.30744644701,0.5848267500000001,0.47998,0.699219,0.060814444673017456,0.003698396680887501,0.5879802073169216,0.21923900000000002,0.5788575,0.051831150000000006,6.914414483929001,-20.2117923,-35.15626,-13.366696,5.748796448042782,33.04866060102931,21.01345303797947,21.789564000000006,-19.134522,4.04540916,8831.304171587373,0.8056641500000001,-16.235352,27.709956,11.76797561218288,138.48525000893102,11.795522232250942,43.945308,-0.701904,9.328612179999999,2782.686894630525,13.049317149999998,-0.061035,23.193352,6.840394628212332,46.79099866967613,14.733488275047437,23.254387,15.930174,5.842286735,4341.513535019206
-0.84668,-0.116211,0.470215,-6.53076,16.6626,8.911134,-0.8216431999999999,-0.967529,-0.66919,0.0591776220083234,0.0035019909465600014,0.8237715332862626,0.298339,-0.82843,0.04171258000000003,13.571990781056,-0.1557008,-0.213623,-0.047852,0.04533826372458477,0.0020555581575599996,0.16216749760109145,0.165771,-0.1707765,0.03996574,0.525965945564,0.52926035,0.456787,0.699219,0.0654134350697737,0.0042789174876275,0.5332873855340571,0.24243200000000004,0.5096434999999999,0.051982420000000015,5.687908711395001,-18.0938717,-35.15626,-6.53076,7.132619188439721,50.874256487298496,19.448970399056073,28.625500000000002,-16.235355,5.254210810000001,7565.2489916671875,3.4484868,-13.366696,23.01025,10.743808191063318,115.42941444635923,11.28368183068512,36.376946,2.9296875,9.185790500000001,2546.42951312267,11.61804135,-0.061035,23.193352,6.069585032305061,36.83986246438163,13.107965031792364,23.254387,11.322018,4.7332756499999995,3436.3749454938284
-0.890747,0.002319,0.424438,6.469726,11.2915,3.845214,-0.8784485,-1.005371,-0.804688,0.05058531699169237,0.002558874295150001,0.8799037682879872,0.20068300000000006,-0.8692015,0.039272949999999994,15.484612828947999,-0.1035706,-0.213623,0.002319,0.06357904812703631,0.00404229536074,0.12152845158686094,0.215942,-0.1051025,0.05202694,0.29538329090200005,0.43994755,0.372803,0.517578,0.04533221783618688,0.0020550099739475,0.44227690051024593,0.144775,0.45062250000000004,0.041607095000000004,3.9121771344989997,-9.719848299999999,-21.91162,6.469726,7.740038954191536,59.908203012402396,12.425121890243785,28.381346,-8.697512,6.36444053,3087.673079748306,9.3902581,-7.690428,22.82714,8.705980796297181,75.7941016254953,12.805118070916446,30.517568,10.894772,7.0361322799999995,3279.4209762022183,9.9700921,3.845214,16.235352,3.372724862975779,11.375273001334989,10.525113276531393,12.390137999999999,9.185792,2.8475943299999997,2215.5601896763474
-0.822144,-0.154663,0.469727,8.72803,18.06641,10.742184,-0.9133239000000002,-1.005371,-0.822144,0.04746955409512502,0.002253358565990001,0.9145566712222922,0.18322700000000003,-0.914612,0.04180290000000001,16.728278097544,-0.07339475,-0.154663,0.002319,0.04459004722679154,0.0019882723116874997,0.08587817906342682,0.15698199999999998,-0.07666,0.03843375,0.147501232785,0.39841315,0.359375,0.469727,0.02599367676046427,0.0006756712315275004,0.39926020253019207,0.110352,0.3908695,0.019877895000000007,3.188174186489,2.8564448999999996,-10.253904,11.535644,7.7351937333884075,59.83322209305129,8.245756457705218,21.789548,6.622313999999999,7.1252438200000014,1359.849991195746,5.92956465,-21.11816,22.82714,11.28480800785013,127.34689177403843,12.747808780828494,43.9453,8.789062999999999,8.611449490000002,3250.132574251361,4.8034662500000005,-6.958006,13.06152,5.954168678145631,35.45212464781049,7.650190367742462,20.019526,6.8054190000000006,5.1367180999999995,1170.508253253991
-0.88794,-0.005615,0.349976,-2.624511,11.596676,11.535644,-0.89881605,-1.025635,-0.787598,0.06435735391660768,0.004141869003147499,0.9011171737020386,0.23803700000000005,-0.888123,0.052112954999999996,16.240243214815,-0.06174929999999999,-0.162598,0.046997,0.05997473786612159,0.003596969182109999,0.0860810387518645,0.20959499999999998,-0.0562135,0.052178999999999996,0.14819890465199997,0.40618905000000005,0.349976,0.528931,0.047598323530850334,0.0022656004029475004,0.40896839088473574,0.17895500000000003,0.391968,0.037158170000000025,3.3451028948570003,6.787108649999999,-2.624511,11.535644,3.794923794545765,14.401446606409626,7.776007358105731,14.160155,7.110594,2.891845485,1209.3258086662893,0.08850114999999921,-21.11816,18.06641,12.546510883916438,157.41493536023364,12.546823016755475,39.18457,5.645751000000001,11.242980935,3148.455356275699,1.6265871,-7.385252,12.81738,6.584057068089567,43.34980747586019,6.782005092135113,20.202632,0.12207000000000001,5.77484091,919.911861394932
-0.837646,-0.125,0.209473,-37.96388,-7.385252,-7.019042,-0.8957520999999998,-1.025635,-0.787598,0.059026541108132026,0.0034841325551900003,0.8976948018171877,0.23803700000000005,-0.8930055,0.045507700000000005,16.117119144192,-0.00919805,-0.162598,0.098633,0.07269087845078982,0.0052839638099475,0.07327051203417376,0.261231,-0.010863999999999999,0.05769665,0.107371358675,0.3720704,0.209473,0.528931,0.07495917197141388,0.005618877462640001,0.37954612370408947,0.319458,0.3736575,0.054833900000000005,2.8811052003759996,-6.726074249999999,-37.96388,7.141112,12.24893062665921,150.03630149671,13.974132399302041,45.104992,-7.1411115,10.68725515,3905.527526264461,11.65771405,-18.9209,45.71532,17.685834191978387,312.78873106615174,21.182328199178652,64.63622,11.718747,13.806151749999998,8973.820558754382,6.2561028,-7.385252,21.97265,9.284517072368377,86.20225726709985,11.19558303578995,29.357902000000003,7.751465,8.04138092,2506.821590225354
-0.988037,-0.147217,0.178833,-36.13282,31.18896,-41.80908,-0.92902825,-1.02417,-0.837646,0.05019917442037768,0.0025199571124875013,0.930383494270266,0.18652400000000002,-0.9311525,0.04401855000000001,17.312268928211,-0.05145265,-0.179565,0.098633,0.08886408490795086,0.0078968255865275,0.10268495887202761,0.278198,-0.067993,0.077178985,0.210884015571,0.2682617500000001,0.161377,0.417725,0.07920911177880673,0.006274083388787499,0.27971136891776494,0.256348,0.245056,0.06741462500000002,1.564768998037,-28.289794200000006,-42.78564,-11.657712,12.332206204994774,152.0833098825116,30.860909995670337,31.127928,-35.85816,11.84387338,19047.915315217306,8.83788995,-28.32031,45.71532,20.607590574267462,424.6727892766371,22.422780560067658,74.03563,7.354737,17.698973044999995,10055.621760898961,-5.45654405,-41.80908,21.97265,19.22683231907776,369.6710810259331,19.986119032856866,63.78173,-5.950927999999999,16.50390515,7988.8990799104695
-0.854858,-0.533325,-0.011963,24.841304,68.96974,-58.3496,-0.9235839499999999,-1.02417,-0.829468,0.05776776669084152,0.003337114868447499,0.9253887980552012,0.19470200000000004,-0.9368894999999999,0.051806649999999996,17.126888551321002,-0.25119020000000003,-0.533325,-0.050537,0.15220502694313354,0.023166370226760002,0.2937054422423936,0.48278800000000005,-0.212524,0.13323062000000002,1.7252577360560002,0.11497194999999998,-0.011963,0.25769,0.09613163921752035,0.009241292058647498,0.14986607803452387,0.269653,0.119812,0.09175405,0.449196826909,-21.8719473,-42.78564,24.841304,21.04322874035184,442.8174758187697,30.351269405294186,67.62694400000001,-31.738280000000003,18.32153224,18423.991090254938,21.86584335,-28.32031,102.53904,37.94692243935316,1439.9689226182845,43.79593620445878,130.85935,6.256102,32.84911932,38361.68056050047,-39.9169887,-64.88038,-4.882814,19.983945144485993,399.3580635378253,44.63993784061256,59.997566000000006,-45.92895,18.35937143,39854.48100827506
