Ax,Ay,Az,Gx,Gy,Gz,activity
-0.357544,0.733276,-0.310303,3.845214,1.159668,-6.469726,stair-up
-0.373657,0.802734,-0.302002,-9.887696,17.45606,13.671872,stair-up
-0.385742,0.854248,-0.32251,-18.79883,25.695796,19.89746,stair-up
-0.386719,0.867432,-0.324829,-11.535644,26.30615,31.494136,stair-up
-0.365234,0.817993,-0.325195,-11.108396,24.16992,31.005852,stair-up
-0.377808,0.81189,-0.340332,-13.30566,20.56884,28.25927,stair-up
-0.448608,0.85022,-0.346802,-5.432128,13.854978,25.02441,stair-up
-0.421387,0.790039,-0.332153,-3.479003,13.366696,22.27783,stair-up
-0.360352,0.772461,-0.360962,-13.854978,-1.342773,11.352536,stair-up
-0.360596,0.766113,-0.397217,-12.878416,-13.916012,11.352536,stair-up
-0.384522,0.791992,-0.419922,-14.892576,-22.949216,10.55908,stair-up
-0.425537,0.807129,-0.445313,-9.82666,-19.04297,11.657712,stair-up
-0.398071,0.779663,-0.451538,-9.58252,-15.930172,10.43701,stair-up
-0.388184,0.876099,-0.480957,-12.3291,-22.27783,15.07568,stair-up
-0.448975,0.950318,-0.46106,-3.540038,-32.22657,25.75683,stair-up
-0.581543,1.098877,-0.418823,4.211426,-27.03857,18.43262,stair-up
-0.588745,1.19812,-0.403809,4.455568,-14.282224,7.690428,stair-up
-0.478272,1.233643,-0.384522,7.751464,-10.0708,-26.12304,stair-up
-0.436035,1.073364,-0.366577,9.765626,-14.770504,-49.68261,stair-up
-0.430542,0.970947,-0.322998,5.798338,-2.990722,-67.688,stair-up
-0.419922,0.901489,-0.241211,-0.366211,37.17042,-75.6836,stair-up
-0.399292,0.85376,-0.195679,-3.051757,59.32616,-79.58984,stair-up
-0.296997,0.82019,-0.144653,-5.249022,72.0215,-66.34524,stair-up
-0.263306,0.777222,-0.13855,-4.638672,57.86132,-57.55614,stair-up
-0.281982,0.72876,-0.130737,-7.690428,28.80859,-43.15184,stair-up
-0.30542,0.718262,-0.135742,-11.16943,18.31055,-34.3628,stair-up
-0.336914,0.699341,-0.140015,-16.41846,16.845708,-24.41406,stair-up
-0.419067,0.766724,-0.16626,-22.949216,28.38134,-10.68115,stair-up
-0.408325,0.775513,-0.170288,-28.991692,31.67724,-1.403808,stair-up
-0.477417,0.782349,-0.272949,-33.02002,28.68652,11.596676,stair-up
-0.497437,0.770508,-0.298584,-31.616208,31.18896,16.113284,stair-up
-0.493774,0.74939,-0.350342,-35.64454,34.3628,13.916012,stair-up
-0.49939,0.783692,-0.380982,-33.93556,32.34864,19.04297,stair-up
-0.478516,0.810303,-0.415894,-23.315424,16.845708,17.33399,stair-up
-0.479614,0.804932,-0.414795,-17.57813,12.93945,19.77539,stair-up
-0.45752,0.867798,-0.380493,-10.375976,-0.12207,18.859868,stair-up
-0.469849,0.902466,-0.386841,-7.141112,-9.643556,20.019532,stair-up
-0.488037,0.947144,-0.394775,-5.737304,-13.97705,19.71436,stair-up
-0.479614,1.037964,-0.394653,-4.760742,-12.69531,22.583,stair-up
-0.499634,1.146484,-0.386841,-6.16455,-7.080076,29.05273,stair-up
-0.45044,1.282959,-0.335327,8.239746,-15.686032,25.63476,stair-up
-0.427734,1.295166,-0.310181,10.68115,-24.29199,34.97315,stair-up
-0.343506,1.152344,-0.272583,21.789548,-44.00634,18.859868,stair-up
-0.284424,0.80481,-0.240356,26.977532,-46.38671,14.282224,stair-up
-0.266358,0.791626,-0.23938,23.437492,-34.42384,2.319336,stair-up
-0.265015,0.759522,-0.231079,25.39062,-17.33399,-0.854492,stair-up
-0.23877,0.705566,-0.225098,25.085448,-7.568358,-6.28662,stair-up
-0.213623,0.605469,-0.234009,21.11816,-7.751464,-11.840818,stair-up
-0.223511,0.614502,-0.237549,16.6626,-6.103514,-16.17432,stair-up
-0.263062,0.664795,-0.266235,9.399414,-9.82666,-8.117676,stair-up
-0.309326,0.709717,-0.289917,7.995604,-12.512204,-4.150392,stair-up
-0.348511,0.747925,-0.284912,10.620116,-15.136716,3.540038,stair-up
-0.411499,0.795898,-0.330811,2.990722,-11.41357,14.70947,stair-up
-0.344238,0.782715,-0.373291,6.28662,-18.615724,11.16943,stair-up
-0.370972,0.841919,-0.462891,4.211426,-24.41406,29.90722,stair-up
-0.359375,0.820435,-0.437012,7.507323,-32.95899,31.127924,stair-up
-0.398926,0.863648,-0.395874,11.596676,-48.58398,26.42822,stair-up
-0.414063,0.817139,-0.381348,19.22608,-64.63624,19.40918,stair-up
-0.456787,0.822388,-0.391235,19.34815,-57.55614,2.929687,stair-up
-0.46106,0.869751,-0.381592,10.009768,-24.841304,-20.08056,stair-up
-0.479858,0.869629,-0.414063,4.577638,-8.117676,-20.75195,stair-up
-0.366577,0.849365,-0.474609,-13.610836,12.45117,-16.05225,stair-up
-0.387085,0.903076,-0.445923,-15.136716,6.774902,-2.197266,stair-up
-0.494385,1.083618,-0.333008,-9.58252,-6.40869,19.59229,stair-up
-0.491455,1.158692,-0.318237,-8.300784,-9.94873,21.301268,stair-up
-0.477173,1.16919,-0.32373,-3.173828,-19.77539,10.986324,stair-up
-0.463501,0.997925,-0.275146,-1.953124,-27.77099,-4.089356,stair-up
-0.449707,0.89917,-0.22522,-6.40869,-22.583,-13.122556,stair-up
-0.462524,0.840698,-0.231689,-24.47509,7.751464,-11.840818,stair-up
-0.459106,0.796875,-0.231934,-29.05273,30.761716,-15.99121,stair-up
-0.331299,0.779175,-0.14563,-33.75244,55.48094,-22.03369,stair-up
-0.320557,0.772095,-0.135864,-30.09033,49.13329,-19.22608,stair-up
-0.321289,0.739502,-0.137939,-25.81787,35.03418,-19.28711,stair-up
-0.361572,0.770142,-0.113647,-19.40918,21.11816,-6.591796,stair-up
-0.377808,0.786621,-0.108643,-19.04297,16.96778,-1.89209,stair-up
-0.405274,0.80835,-0.111206,-12.45117,10.55908,-2.197266,stair-up
-0.405274,0.80481,-0.124756,-14.892576,17.51709,2.746581,stair-up
-0.390625,0.871948,-0.142822,-16.6626,19.59229,-2.197266,stair-up
-0.370972,0.849854,-0.16626,-14.09912,12.20703,-1.708984,stair-up
-0.432861,0.875977,-0.216431,-13.549804,10.009768,1.403808,stair-up
-0.453613,0.837036,-0.220459,-12.20703,19.83643,-1.220704,stair-up
-0.475586,0.876587,-0.214478,-18.493652,35.27832,-1.586914,stair-up
-0.411499,0.982666,-0.211426,-19.53125,43.15184,6.65283,stair-up
-0.412476,0.970093,-0.216064,-18.371584,25.451652,14.282224,stair-up
-0.442871,1.01001,-0.22876,-14.038084,1.586914,21.72851,stair-up
-0.452515,1.02356,-0.241699,-13.06152,-7.202148,26.30615,stair-up
-0.515137,1.227662,-0.273438,-14.70947,-7.324218,42.23632,stair-up
-0.456421,1.375732,-0.26648,1.953124,-18.9209,47.36327,stair-up
-0.297974,1.233643,-0.173584,18.31055,-53.95507,40.16112,stair-up
-0.327271,1.070068,-0.2052,22.46093,-78.30812,35.03418,stair-up
-0.384277,1.056519,-0.241577,27.77099,-64.0259,28.19824,stair-up
-0.271606,0.863648,-0.16748,33.63038,-15.747068,5.004884,stair-up
-0.174072,0.814575,-0.153809,25.63476,-8.666994,-3.112792,stair-up
-0.175415,0.77063,-0.219971,31.616208,-7.995604,-31.67724,stair-up
-0.210815,0.730469,-0.232788,31.127924,2.441407,-37.23145,stair-up
-0.236206,0.670898,-0.230835,22.583,32.34864,-40.22216,stair-up
-0.230225,0.693726,-0.230347,16.601568,46.56982,-40.03907,stair-up
-0.219605,0.743408,-0.231323,16.113284,49.62158,-37.90284,stair-up
-0.212647,0.925415,-0.263184,23.6206,14.892576,-37.59766,stair-up
-0.211792,0.733643,-0.241333,39.36768,-15.258788,7.995604,stair-up
-0.243774,0.824219,-0.27832,16.479492,-6.835936,-0.610352,stair-up
-0.203491,0.86377,-0.256836,15.930172,-30.09033,8.422854,stair-up
-0.160767,0.845703,-0.242432,13.610836,-75.3174,29.72412,stair-up
-0.366943,0.787598,-0.279785,24.6582,-134.76564,22.15576,stair-up
-0.4823,0.719604,-0.35669,20.20263,-107.36082,14.282224,stair-up
-0.52832,0.833862,-0.427002,1.037598,-50.29296,16.78467,stair-up
-0.521118,0.82312,-0.346802,5.737304,-26.06201,14.404296,stair-up
-0.50647,0.714478,-0.399658,5.493162,31.4331,10.742184,stair-up
-0.560303,0.652344,-0.473511,-5.187988,39.24561,10.31494,stair-up
-0.426758,0.732178,-0.368042,-17.45606,91.97996,-4.821778,stair-up
-0.372314,0.828491,-0.305542,-20.26367,71.28906,-2.380371,stair-up
-0.323853,0.85022,-0.285645,-16.845708,47.48534,1.586914,stair-up
-0.327515,0.860108,-0.336914,-12.268064,-11.41357,-3.601074,stair-up
-0.362549,0.935059,-0.360108,-13.671872,-17.57813,-2.380371,stair-up
-0.389771,1.069824,-0.342529,-15.014646,-10.742184,7.751464,stair-up
-0.408936,1.140015,-0.329102,-19.59229,-8.422854,12.268064,stair-up
-0.377808,1.241333,-0.301025,-15.31982,-31.4331,20.019532,stair-up
-0.373779,1.133301,-0.276489,-11.230468,-46.32568,15.624996,stair-up
-0.376709,0.966919,-0.267334,-13.427732,-40.22216,4.760742,stair-up
-0.350342,0.936035,-0.187866,-24.35302,-6.16455,-11.04736,stair-up
-0.314697,0.941528,-0.159424,-19.34815,-4.760742,-10.742184,stair-up
-0.329102,0.924561,-0.138184,-12.512204,-10.009768,-11.474608,stair-up
-0.357788,0.955688,-0.121094,-7.93457,-6.103514,-11.108396,stair-up
-0.338501,0.863404,-0.092896,-4.577638,1.647949,-17.94434,stair-up
-0.312378,0.8219,-0.083008,-8.60596,3.723144,-18.005376,stair-up
-0.324829,0.766236,-0.116455,-16.96778,4.089356,-16.78467,stair-up
-0.361572,0.757446,-0.134888,-23.49853,16.113284,-12.20703,stair-up
-0.335693,0.794556,-0.124146,-25.93994,35.70557,-3.479003,stair-up
-0.342896,0.848633,-0.111572,-21.545408,30.94482,3.540038,stair-up
-0.350586,0.861572,-0.105713,-14.95361,26.24511,7.93457,stair-up
-0.389526,0.909424,-0.100586,-8.056642,15.747068,10.620116,stair-up
-0.401367,0.933838,-0.109009,-4.821778,10.253904,12.93945,stair-up
-0.393921,0.87732,-0.129517,0.549316,1.037598,12.878416,stair-up
-0.405274,0.849365,-0.134522,0.549316,0.244141,6.04248,stair-up
-0.414673,0.869385,-0.137207,1.586914,3.662109,-1.159668,stair-up
-0.39978,0.890503,-0.1427,6.103514,1.098633,-0.244141,stair-up
