Ax,Ay,Az,Gx,Gy,Gz,activity,,,
-0.953003,0.010498,0.359009,-16.235352,22.27783,20.44677,walking,,,
-0.9552,0.064087,0.370728,-15.441892,40.22216,21.97265,walking,,,
-0.91687,0.098633,0.413574,-13.06152,45.71532,19.65332,walking,,,
-0.911621,0.098389,0.417725,-12.756344,35.09522,13.671872,walking,,,
-0.872559,0.065918,0.288818,-12.08496,17.39502,10.498044,walking,,,
-0.864014,0.0625,0.281006,-13.06152,8.60596,9.46045,walking,,,
-0.897705,-0.020264,0.270386,-16.54053,27.77099,1.403808,walking,,,
-0.903442,-0.078003,0.310669,-25.329584,17.08985,0.488281,walking,,,
-0.837646,-0.125,0.209473,-37.96388,-7.385252,-7.019042,walking,,,
-0.891602,-0.101685,0.192993,-41.62596,-28.32031,-4.882814,walking,,,
-0.878784,-0.050537,0.194336,-41.62596,-20.50781,-8.48389,walking,,,
-0.875854,-0.057983,0.22644,-39.42872,-13.549804,-11.230468,walking,,,
-0.958252,-0.102295,0.218384,-39.67286,-10.0708,-18.615724,walking,,,
-0.976318,-0.110718,0.232422,-35.82764,-13.549804,-18.55469,walking,,,
-1.02417,-0.132568,0.25769,-35.88868,-4.882814,-24.16992,walking,,,
-1.010864,-0.14209,0.223022,-37.47559,0.854492,-27.099608,walking,,,
-0.953491,-0.160645,0.161377,-41.19872,2.929687,-33.3252,walking,,,
-0.965698,-0.179565,0.181763,-42.78564,6.103514,-29.29687,walking,,,
-0.988037,-0.147217,0.178833,-36.13282,31.18896,-41.80908,walking,,,
-0.959595,-0.245483,0.067261,-27.64892,92.28514,-50.04882,walking,,,
-0.920288,-0.262085,0.078247,-26.36718,102.53904,-55.78612,walking,,,
-0.848145,-0.321655,0.006226,-17.15088,65.55176,-60.11962,walking,,,
-0.854004,-0.293457,-0.007568,-10.864256,16.90674,-64.88038,walking,,,
-0.953736,-0.369385,-0.008057,-7.690428,-8.422854,-62.01171,walking,,,
-0.963745,-0.407715,0.030884,-5.065916,6.40869,-59.81444,walking,,,
-0.910278,-0.445679,0.026978,-1.281738,33.93556,-55.54198,walking,,,
-0.854492,-0.435181,0.017944,4.943848,49.07226,-54.13818,walking,,,
-0.829468,-0.524536,0.032227,20.50781,59.87548,-60.18066,walking,,,
-0.854858,-0.533325,-0.011963,24.841304,68.96974,-58.3496,walking,,,
-1.076782,-0.680054,-0.181519,50.5371,108.2153,-48.2788,walking,,,
-1.023194,-0.748291,-0.225952,52.36816,140.9302,-38.57422,walking,,,
-0.8479,-0.67688,-0.276856,46.14257,211.05952,-7.446288,walking,,,
-0.76355,-0.663818,-0.284546,42.23632,222.22896,0.183105,walking,,,
-0.498047,-0.680176,-0.210327,38.26905,175.65916,2.807617,walking,,,
-0.466309,-0.748657,-0.21167,33.1421,124.3286,-2.319336,walking,,,
-0.446655,-0.792236,-0.261597,32.89796,85.32714,-2.746581,walking,,,
-0.301148,-0.845093,-0.353149,35.52246,10.864256,5.126952,walking,,,
-0.359131,-0.827515,-0.296143,32.59278,-58.83788,1.403808,walking,,,
-0.367554,-0.806641,-0.260986,30.51757,-80.13916,-1.098633,walking,,,
-0.373291,-0.807129,-0.245483,30.761716,-84.0454,-1.220704,walking,,,
-0.433228,-0.916626,-0.218994,24.04785,-69.64112,-17.7002,walking,,,
-0.447998,-0.969971,-0.199341,18.737796,-60.05858,-24.963376,walking,,,
-0.381592,-1.006348,-0.105469,-17.27295,-61.03514,-44.25048,walking,,,
-0.370483,-0.945557,-0.075195,-31.005852,-78.73536,-43.82324,walking,,,
-0.434204,-0.915528,-0.058838,-29.479976,-93.2617,-30.33447,walking,,,
-0.484741,-0.938843,-0.065308,-29.235832,-90.51512,-25.75683,walking,,,
-0.496094,-0.933106,-0.065796,-29.96826,-71.04494,-26.12304,walking,,,
-0.476318,-0.909058,-0.053467,-32.1045,-65.12452,-27.9541,walking,,,
-0.484619,-0.87793,-0.043701,-36.68214,-79.4678,-30.63964,walking,,,
-0.488281,-0.87146,-0.061279,-35.09522,-85.2661,-31.67724,walking,,,
-0.490479,-0.87854,-0.056152,-39.42872,-102.90524,-23.559568,walking,,,
-0.513794,-0.869385,-0.026611,-38.8794,-104.5532,-18.79883,walking,,,
-0.522583,-0.872192,-0.032104,-41.32079,-94.42136,-13.854978,walking,,,
-0.522461,-0.878052,-0.028564,-41.32079,-75.80568,-11.352536,walking,,,
-0.473999,-0.901367,0.029785,-43.88427,-69.51904,-3.540038,walking,,,
-0.615479,-0.913574,-0.028198,-57.00682,-104.98044,26.9165,walking,,,
-0.731934,-0.890503,-0.098633,-63.96484,-105.4077,27.465816,walking,,,
-0.568237,-0.817139,-0.126587,-64.14796,-73.54736,32.1045,walking,,,
-0.487061,-0.79248,-0.106079,-61.88964,-70.06836,22.88818,walking,,,
-0.458374,-0.777954,-0.115479,-60.05858,-89.72166,11.04736,walking,,,
-0.518188,-0.806885,-0.128784,-60.18066,-90.94236,2.563476,walking,,,
-0.552612,-0.817505,-0.133301,-52.7954,-63.17138,-10.92529,walking,,,
-0.628052,-0.829834,-0.139771,-51.5747,-49.56054,-15.19775,walking,,,
-0.613892,-0.802612,-0.124146,-41.80908,-35.27832,-11.535644,walking,,,
-0.651123,-0.774414,-0.164551,-40.95458,-29.54101,-7.751464,walking,,,
-0.607544,-0.75232,-0.197022,-40.03907,-37.41456,0.854492,walking,,,
-0.618164,-0.74585,-0.205322,-42.7246,-39.7339,0.12207,walking,,,
-0.581055,-0.716797,-0.214233,-37.53662,-38.08594,2.624511,walking,,,
-0.560425,-0.702637,-0.218018,-33.81348,-37.8418,1.220704,walking,,,
-0.568482,-0.716797,-0.255005,-19.04297,-34.66798,-6.40869,walking,,,
-0.552856,-0.717529,-0.27417,-12.69531,-25.02441,-15.014646,walking,,,
-0.594849,-0.788574,-0.36438,-8.8501,-23.071284,-31.494136,walking,,,
-0.667236,-0.788452,-0.409424,-11.352536,-15.136716,-29.84619,walking,,,
-0.648682,-0.796387,-0.248291,-4.211426,8.97217,-20.69091,walking,,,
-0.532593,-0.773682,-0.18042,-3.540038,10.31494,-13.18359,walking,,,
-0.47998,-0.752808,-0.347656,-10.131832,-38.8794,-9.70459,walking,,,
-0.594604,-0.765747,-0.335083,-12.93945,-51.81884,-10.80322,walking,,,
-0.550781,-0.743042,-0.226196,-4.333496,-47.11913,-14.526364,walking,,,
-0.51355,-0.756592,-0.202393,2.380371,-53.16161,-17.15088,walking,,,
-0.546753,-0.79065,-0.178955,7.080076,-82.09226,-18.67676,walking,,,
-0.584961,-0.813354,-0.213501,4.699708,-79.834,-10.986324,walking,,,
-0.668823,-0.794678,-0.291138,-8.239746,-51.69677,-0.976562,walking,,,
-0.664429,-0.797241,-0.283081,-11.840818,-33.56934,4.882814,walking,,,
-0.658814,-0.806519,-0.214966,-17.82227,-2.197266,10.68115,walking,,,
-0.581543,-0.802124,-0.21106,-17.33399,4.821778,12.93945,walking,,,
-0.53125,-0.818115,-0.194092,-15.380856,-10.742184,14.038084,walking,,,
-0.588623,-0.818237,-0.192993,-21.60644,-20.62988,8.361816,walking,,,
-0.562988,-0.771118,-0.122925,-19.53125,-29.66308,8.72803,walking,,,
-0.557495,-0.740601,-0.08728,-16.17432,-31.73828,5.981444,walking,,,
-0.5896,-0.768433,-0.034302,-5.004884,-17.63916,-0.427246,walking,,,
-0.569702,-0.787842,-0.011597,-2.502442,-12.08496,-2.563476,walking,,,
-0.557617,-0.890991,0.041992,5.126952,2.563476,-9.21631,walking,,,
-0.547608,-0.931885,0.031128,4.882814,-2.258301,-13.244628,walking,,,
-0.543091,-0.917725,0.018311,0.12207,-12.756344,-14.70947,walking,,,
-0.499878,-0.821533,0.067993,3.234863,-23.01025,-7.995604,walking,,,
-0.483276,-0.812744,0.057739,6.713866,-21.60644,-2.807617,walking,,,
-0.504517,-0.855469,-0.094971,-1.037598,-13.916012,-3.662109,walking,,,
-0.57605,-0.876099,-0.018677,-8.544924,-20.38574,-7.019042,walking,,,
-0.513794,-0.843262,-0.097534,-15.99121,30.883784,1.037598,walking,,,
-0.575806,-0.823975,-0.118774,-24.35302,4.882814,-0.610352,walking,,,
-0.621826,-0.77356,-0.0979,-22.21679,1.708984,0,walking,,,
-0.561157,-0.781372,-0.115234,-19.04297,1.770019,-0.366211,walking,,,
-0.542358,-0.778931,-0.148438,-16.601568,-19.83643,-8.72803,walking,,,
-0.532715,-0.806274,-0.154297,-13.793944,-28.869624,-14.46533,walking,,,
-0.537598,-0.797608,-0.146973,-12.93945,-41.13768,-18.127448,walking,,,
-0.53894,-0.809204,-0.122681,-13.30566,-43.82324,-19.40918,walking,,,
-0.535889,-0.786133,-0.110107,-17.45606,-53.03954,-16.845708,walking,,,
-0.578247,-0.811157,-0.091431,-14.34326,-56.45751,-16.29639,walking,,,
-0.56665,-0.841675,-0.09729,-26.30615,-70.86184,-16.479492,walking,,,
-0.544922,-0.837524,-0.089844,-44.73876,-67.19972,-15.99121,walking,,,
-0.608032,-0.94104,-0.08374,-29.05273,-57.98339,-29.66308,walking,,,
-0.513306,-0.942505,-0.091797,-35.33936,-68.78664,-25.63476,walking,,,
-0.423828,-0.930908,-0.056152,-42.5415,-144.4092,-19.53125,walking,,,
-0.425781,-0.904297,-0.010376,-46.56982,-168.9453,-10.253904,walking,,,
-0.557617,-0.925293,0.026489,-52.12402,-154.6631,-2.929687,walking,,,
-0.523438,-0.908814,0.033936,-54.26024,-135.80324,3.173828,walking,,,
-0.447998,-0.770386,0.048462,-47.18016,-75.74464,15.686032,walking,,,
-0.44751,-0.795532,0.028809,-37.29248,-51.33056,23.6206,walking,,,
-0.407471,-0.880615,0.034302,-27.28271,-28.93066,-7.141112,walking,,,
-0.385376,-0.923096,0.053345,-24.59716,-35.94972,-8.422854,walking,,,
-0.424438,-0.834717,0.000732,-9.765626,-38.26905,-12.145992,walking,,,
-0.428467,-0.859863,-0.03064,3.356933,-29.54101,-13.06152,walking,,,
-0.43396,-0.894165,0.021973,6.958006,1.403808,-29.96826,walking,,,
-0.384644,-0.919678,0.061279,7.202148,-9.46045,-25.085448,walking,,,
-0.38501,-0.906128,-0.045044,3.662109,-35.52246,-33.63038,walking,,,
-0.387817,-0.895386,-0.062378,4.272462,-43.15184,-30.09033,walking,,,
-0.365601,-0.896851,-0.023193,3.906249,-17.8833,-16.845708,walking,,,
-0.288696,-0.875122,-0.037354,7.141112,-33.02002,-21.179192,walking,,,
-0.366699,-0.897461,-0.01062,3.784179,-38.02491,-16.845708,walking,,,
-0.411011,-0.91919,0.002686,1.831054,-36.56006,-26.73339,walking,,,
-0.397705,-0.928345,0.03418,1.403808,-28.869624,-35.4004,walking,,,
-0.456177,-0.934204,0.051147,-0.12207,-27.89306,-32.40968,walking,,,
-0.441406,-0.93396,0.065918,-3.540038,-23.681636,-33.08106,walking,,,
-0.408814,-0.939087,0.07605,-6.65283,-4.394532,-21.72851,walking,,,
-0.404785,-0.981812,0.057617,-6.04248,-8.666994,-17.21192,walking,,,
-0.379517,-0.970215,0.109375,-14.404296,-13.916012,5.371092,walking,,,
-0.391358,-0.963623,0.117065,-13.793944,-17.63916,14.46533,walking,,,
-0.383179,-1.054566,0.09082,-7.019042,-7.385252,29.72412,walking,,,
-0.447022,-1.017578,0.092651,-5.493162,15.686032,23.681636,walking,,,
-0.322876,-0.914429,-0.015747,7.751464,46.93602,24.963376,walking,,,
-0.379761,-0.843994,-0.048828,16.723632,65.36866,27.587884,walking,,,
-0.406128,-0.896973,0.113159,38.08594,116.57712,17.57813,walking,,,
-0.358276,-1.090454,0.182251,22.82714,126.34276,11.41357,walking,,,
-0.290527,-1.0979,0.206543,-4.516602,103.21044,15.99121,walking,,,
-0.218994,-0.972534,0.182861,-10.19287,79.28468,34.79004,walking,,,
-0.191772,-0.88916,0.133179,-3.906249,53.03954,49.07226,walking,,,
-0.28894,-0.925781,0.080078,10.253904,30.02929,52.36816,walking,,,
-0.307739,-0.938965,0.07251,13.366696,27.465816,46.81396,walking,,,
-0.291626,-0.904053,0.083862,12.512204,30.3955,25.329584,walking,,,
-0.276978,-0.872437,0.067261,14.34326,20.69091,13.793944,walking,,,
-0.275269,-0.850342,0.034546,13.18359,-6.103514,-7.080076,walking,,,
-0.290405,-0.868408,0.030273,12.268064,-18.55469,-16.601568,walking,,,
-0.319214,-0.880615,0.032715,10.742184,-23.37646,-21.85058,walking,,,
-0.342163,-0.887695,0.022583,9.277344,-23.437492,-29.66308,walking,,,
-0.379883,-1.008179,0.009155,11.04736,-23.437492,-33.93556,walking,,,
-0.340454,-1.017944,0.123413,-9.521484,-43.15184,-37.59766,walking,,,
-0.363403,-0.87915,0.035645,-3.540038,-55.54198,-23.25439,walking,,,
-0.414673,-0.88501,-0.007202,4.821778,-41.38182,-20.38574,walking,,,
-0.454712,-1.013428,0.0177,9.887696,-13.427732,-16.235352,walking,,,
-0.309204,-1.021973,0.126953,-18.615724,3.967285,-4.516602,walking,,,
-0.250977,-0.91565,0.105103,-25.63476,-16.90674,4.394532,walking,,,
-0.245361,-0.894898,0.080933,-27.9541,-58.1665,21.057124,walking,,,
-0.304077,-0.868164,0.077026,-35.88868,-70.1294,6.53076,walking,,,
-0.305542,-0.984009,0.053833,-20.75195,-62.31688,0.12207,walking,,,
-0.3125,-0.977417,0.025269,-11.779784,-51.39159,-1.403808,walking,,,
-0.31189,-0.977295,0.002686,-4.089356,-49.80468,-16.05225,walking,,,
-0.329102,-0.94458,-0.004028,-4.089356,-48.40087,-21.85058,walking,,,
-0.310425,-0.924683,-0.008057,-8.789064,-46.50878,-26.36718,walking,,,
-0.277344,-0.889526,-0.003296,-10.498044,-66.22316,-28.80859,walking,,,
-0.468994,-0.917847,0.014648,-4.943848,-32.53174,-17.33399,walking,,,
-0.389038,-0.970459,0.033447,-1.647949,-16.235352,-12.20703,walking,,,
-0.37915,-0.963379,0.027588,4.943848,-9.70459,-23.37646,walking,,,
-0.395752,-0.92749,0.018066,8.60596,-1.586914,-18.18848,walking,,,
-0.3479,-0.898194,0.01355,9.82666,19.53125,-12.756344,walking,,,
-0.338745,-0.894043,0.021484,7.93457,20.26367,-4.882814,walking,,,
-0.332398,-0.914062,0.039673,5.371092,21.85058,-1.098633,walking,,,
-0.30603,-0.962524,0.070801,-2.563476,23.559568,12.57324,walking,,,
-0.302856,-0.941895,0.080811,-6.347656,22.76611,17.21192,walking,,,
-0.302124,-0.893066,0.083496,-1.953124,19.04297,9.46045,walking,,,
-0.314453,-0.909302,0.087646,-0.366211,16.41846,5.432128,walking,,,
-0.326782,-0.929444,0.09729,1.586914,14.892576,-0.366211,walking,,,
-0.331177,-0.94519,0.091797,6.103514,16.96778,-1.89209,walking,,,
-0.338379,-1.063354,0.096802,8.117676,12.81738,2.685546,walking,,,
-0.36438,-1.065796,0.099121,2.929687,28.07617,2.929687,walking,,,
-0.316528,-1.021484,0.086304,3.295898,29.05273,7.446288,walking,,,
-0.331177,-0.88208,0.0177,10.009768,29.54101,25.14648,walking,,,
-0.31897,-0.924805,0.056885,17.82227,36.01075,30.33447,walking,,,
-0.367554,-0.924438,0.058838,16.54053,44.92186,29.357908,walking,,,
-0.327148,-0.96521,0.026978,10.864256,63.59862,34.66798,walking,,,
-0.310669,-1.009278,0.049194,10.92529,61.6455,42.11425,walking,,,
-0.308594,-1.090698,0.095337,-8.300784,53.77196,48.58398,walking,,,
-0.267334,-1.068238,0.098755,-16.357424,44.43358,54.32128,walking,,,
-0.227173,-0.959229,0.070068,-17.94434,4.760742,63.65966,walking,,,
-0.241821,-0.940308,0.054932,-13.122556,-12.57324,61.15722,walking,,,
-0.280396,-0.897949,0.040527,-7.690428,-19.53125,41.74804,walking,,,
-0.302734,-0.895996,0.04126,-6.65283,-19.16504,26.36718,walking,,,
-0.304932,-0.897949,0.04248,-10.19287,-18.06641,10.986324,walking,,,
-0.318237,-0.887207,0.043457,-20.75195,-10.375976,-13.06152,walking,,,
-0.262695,-0.89917,0.067505,-26.24511,-11.657712,-25.695796,walking,,,
-0.309326,-0.954834,0.093384,-34.72901,-61.03514,-44.9829,walking,,,
-0.407349,-0.95752,0.104614,-37.35352,-89.35546,-42.23632,walking,,,
-0.435669,-0.922608,0.085083,-35.88868,-84.35056,-34.30176,walking,,,
-0.431519,-0.936524,0.126099,-39.79492,-78.00294,-28.50341,walking,,,
-0.424438,-0.938232,0.152222,-46.50878,-88.80614,-26.00097,walking,,,
-0.428345,-0.954346,0.129028,-52.30712,-99.4873,-15.686032,walking,,,
-0.427002,-0.9552,0.143677,-53.22264,-96.67966,-12.023924,walking,,,
-0.418945,-0.957276,0.156006,-54.13818,-94.17724,-11.718748,walking,,,
-0.401001,-0.942749,0.165161,-52.91747,-89.7827,-17.08985,walking,,,
-0.39209,-0.901123,0.158814,-51.26952,-88.86716,-21.3623,walking,,,
-0.386353,-0.872437,0.132813,-35.64454,-80.07814,-28.1372,walking,,,
-0.381226,-0.936768,0.14624,-32.59278,-76.78224,-32.04346,walking,,,
-0.352539,-0.937378,0.149902,-29.84619,-85.2661,-30.883784,walking,,,
-0.333496,-0.942627,0.140381,-27.465816,-97.5952,-26.12304,walking,,,
-0.351318,-0.931763,0.115845,-16.113284,-108.8867,-16.41846,walking,,,
-0.343384,-0.925415,0.109375,-8.666994,-111.38914,-15.014646,walking,,,
-0.385742,-0.931885,0.082642,-1.037598,-114.99022,-18.79883,walking,,,
-0.39917,-0.944946,0.062622,9.82666,-101.19628,-17.39502,walking,,,
-0.391358,-0.940308,0.053833,-27.52685,-112.30468,-29.479976,walking,,,
-0.342041,-0.998291,0.032593,-14.09912,-91.12546,-14.34326,walking,,,
-0.421997,-0.930176,0.040039,-7.93457,-85.083,-9.521484,walking,,,
-0.380005,-0.969116,0.064209,-15.502928,-78.36914,-0.488281,walking,,,
-0.358398,-0.962891,0.063477,-15.31982,-71.6553,0.549316,walking,,,
-0.334717,-0.964722,0.073364,-16.601568,-70.6177,2.502442,walking,,,
-0.330811,-0.929321,0.069092,-9.70459,-71.10596,-4.333496,walking,,,
-0.349854,-0.917358,0.060913,-6.103514,-69.21388,-10.80322,walking,,,
-0.35376,-0.934448,0.062256,-3.967285,-60.85204,-19.89746,walking,,,
-0.353272,-0.933594,0.05603,-2.990722,-57.1289,-19.16504,walking,,,
-0.359375,-0.944092,0.037476,1.220704,-49.19432,-9.09424,walking,,,
-0.353149,-0.950073,0.037109,0.976562,-43.39598,-2.380371,walking,,,
-0.327759,-0.969482,0.050293,-2.441407,-42.48046,7.995604,walking,,,
-0.333374,-0.980469,0.050171,-4.760742,-44.37255,14.160152,walking,,,
-0.338989,-0.994995,0.056885,-12.20703,-44.67772,14.83154,walking,,,
-0.325806,-0.953613,0.040039,-15.07568,-43.33495,13.610836,walking,,,
-0.372803,-0.896851,0.019165,-5.126952,-12.45117,12.512204,walking,,,
-0.294312,-0.932862,0.015381,0.976562,0.061035,18.06641,walking,,,
-0.269043,-0.960449,0.003174,-1.098633,-7.385252,23.92578,walking,,,
-0.280884,-0.982056,0.000122,-0.488281,-6.16455,30.57861,walking,,,
-0.338501,-1.05481,0.043945,-6.16455,-0.854492,49.3164,walking,,,
-0.310791,-1.168457,-0.005615,-25.085448,41.38182,44.7998,walking,,,
-0.266235,-1.21582,0.034668,-33.5083,32.34864,41.87011,walking,,,
-0.245483,-0.94043,0.065186,-33.08106,-10.131832,51.5747,walking,,,
-0.254028,-0.834717,0.013794,-16.845708,-9.09424,48.33984,walking,,,
-0.350952,-0.916626,-0.023804,4.272462,8.911134,32.83692,walking,,,
-0.380493,-0.931396,-0.00415,5.065916,36.92628,28.68652,walking,,,
-0.335571,-0.962646,0.024048,0.427246,50.7202,26.36718,walking,,,
-0.239746,-0.971924,0.043945,-21.85058,35.70557,22.949216,walking,,,
-0.222778,-0.944824,0.037476,-31.249992,7.568358,19.83643,walking,,,
-0.269775,-0.911255,0.014282,-32.40968,-41.07665,13.18359,walking,,,
-0.281006,-0.907959,0.011353,-30.33447,-44.25048,8.48389,walking,,,
-0.314453,-0.881348,0.016602,-19.53125,-47.97362,-15.380856,walking,,,
-0.313721,-0.840088,0.001221,-12.69531,-54.74852,-29.54101,walking,,,
-0.462402,-0.894409,-0.037231,-1.464844,-64.7583,-53.34472,walking,,,
-0.508179,-0.906128,-0.042358,-0.854492,-46.81396,-52.91747,walking,,,
-0.468994,-0.903687,-0.008789,-13.610836,-7.629394,-39.36768,walking,,,
-0.452271,-0.907471,-0.000732,-18.55469,-10.009768,-31.98242,walking,,,
-0.427124,-1.073242,0.055786,-34.85108,-49.80468,-17.15088,walking,,,
-0.387573,-1.053223,0.106812,-54.62646,-70.37354,-10.31494,walking,,,
-0.376587,-0.889404,0.063721,-44.67772,-88.01268,3.173828,walking,,,
-0.38794,-0.904785,0.044189,-29.96826,-81.90916,4.394532,walking,,,
-0.31897,-0.947022,0.112549,-26.00097,-93.2617,-1.342773,walking,,,
-0.290405,-0.883911,0.0979,-20.81298,-114.01364,0.12207,walking,,,
-0.370972,-0.825195,0.049561,-9.46045,-130.06592,3.967285,walking,,,
-0.387329,-0.862671,0.02417,-1.464844,-107.97116,0.244141,walking,,,
-0.352295,-0.895752,0.012573,7.690428,-80.2002,-10.131832,walking,,,
-0.386108,-0.916626,-0.024902,9.521484,-68.0542,-21.057124,walking,,,
-0.385986,-1.115356,-0.04187,-8.544924,-64.63624,-1.037598,walking,,,
